StreetNameEn
Abai avenue
Abylai Khan avenue
Al-Farabi Avenue
Almaty botanical garden Central alley
Altynsarin avenue
Auezov street
Ayteke bi street
Baitursynov street
Bayseitovoy street
Bayzakov street
Bogenbai Batyr street 
Brusilovsky street
Dostyq Avenue
Dulati street
Eastern bypass road
Gagarin Avenue
Gogol street
Islam Karimov Street
Jambyl street
Jandosov street
Joldasbekov street
Kabanbay Batyr street
Karasai Batyr street
Kazybek Bi Street
Kuljinsky tract
Kulymbetov street
Kunaev street
Kurmangazy street
Makatayev street
Mametova street
Moldagulova Street
Momyshuly Street
Mustafin street
Nauryzbai Batyr street
Nazarbayev Avenue
Observatoriya Street
Omarova Street
Panfilov Street
Pushkin street
Radostovtsa street
Raiymbek batyr avenue
Rozybakiyev street
Ryskulov avenue
Saina Street
Satpayev street
Seifullin avenue
Severnoye Koltso shosse
Shagabutdinov street
Shalyapin street
Shevchenko street
Suyunbay avenue
Tchaikovsky Street
Timiryazev Street
Tulebayev street
Turgyt Özal street
Turkebayev street
Töle Bi Street 
Utepov street
Vasnetsov street
Zakarpatskaya street
Zavetnaya street
Zemnukhov street
Zharokov street
Zheltoksan Street
Zhetysu street
Zhibek Zholy
Zhumaliyev street
